gene_id,B02_LS_05,B14_LS_07,B14_LS_12,B02_LS_13,B02_LS_14,B14_LS_18,B14_LS_19,B14_LS_22,R14_LS_24,R02_LS_32,R14_LS_34,R02_LS_35,R14_LS_36,R02_LS_37,R14_LS_39,R02_LS_40,B14_LS_41,B02_LS_42,R02_LS_43,R14_LS_44,B02_LS_45,R14_LS_46
gene10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gene10103,0,0,0,0,4,0,12,4,3,0,0,4,0,8,4,8,0,0,0,0,0,8
gene10146,4,0,0,4,0,8,10,2,2,0,3,0,0,0,3,0,2,4,2,6,4,2
gene1016,0,0,0,0,0,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0
gene1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
gene10187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
gene10286,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
gene10287,0,0,0,0,0,0,6,0,0,0,0,0,7,0,7,0,0,0,2,12,0,0
gene10288,0,0,0,5,0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,2,5,0
gene10293,0,0,0,0,1,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
gene1030,8,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
gene1032,18,11,0,0,0,0,5,0,8,5,0,0,5,0,0,0,0,0,0,0,0,0
gene10337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
gene10340,44,25,28,27,14,32,4,61,44,40,31,24,28,20,52,24,32,52,52,40,40,51
gene10342,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10346,63,26,0,0,0,0,0,0,5,0,0,0,8,4,4,0,0,0,0,0,0,0
gene10355,50,5,4,17,7,8,21,0,20,18,0,9,21,21,30,8,16,9,9,18,13,16
gene1036,4,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0
gene10391,6,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
gene10411,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
