sampleID,[RNA] 20170922,[RNA] 20171011,gel image,Checked notebook?,stock,treat,treat2,treat3,treat4,stage,RNASEQ,volume = 1.5ug,samplename,messup_ID,messup_stock,messup_treat,amount sent,remaining,Sample name,Library,Lane,Raw reads,Clean Reads,Raw data(G),Clean data(G),Effective(%),Error(%),Q20(%),Q30(%),GC(%),RNA_prep_Date,nanodrop2016,,"box position (guts, gonads, microb)",simpleUniqueID,Col,row,NB page,fry notes 20171011,gut-micorbiome sample,intestine-RNAlater,gonad,Brain state,Cynthia tube location Brain,time_brain,est_mass,GSI,resid,stock_treat,ate_fry,pull_date,stage_found,kill_date,kill-pull,treat,kill_month,kill_year,pred_kill,pred_treat,source_tank,gen,treat_tank,length_mm,mass_g,pred_mass,resid_mass,pred_mass2,m<-lm,gonad_g,time_day,time_gonad,egg_count,fry_count,brood_size,caring,stage_end,blood,brain,gonads,guts_1,guts_2,guts_3,eye_bars,body_bars,attacking_stim,hovering,hiding,bus-stopping,estr_conc1,estr_conc2,estr_mean,dilution,orig_ID
B02_LS_05,314,110,good ,yes,LS,B02,1_B02,3_B02,2_B02,B,X,13.6,SR05,LSB2-2,LS,1_B02,20,more than 10,SR05,USR16087169L-A24,HF5W5BBXX_L1,60070796,58034958,18021238800,17410487400,96.61,0.02,95.38,89.75,48.12,20160718,188,10.6,D2,LSB2-2,D,2,37,47,20170803-sent,20170804-sort/label,20170804-sort/label,gone,,8.05,1512.422537,4.603174603,0.204708,LSB2,no,20160613,0,20160615,2,B02,201606,2016,20160615,B2,1-1-050,lab,UZ-32,47.6,3.15,2.8561752,0.2938248,2.969072,0.180928,0.145,5:30pm,12.15/15.47,47,,47,yes,,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,5951.346818,3576.915164,4764.130991,49,0615_3
B14_LS_07,,65,good ,yes,LS,B14,2_B14,0_B14,3_B14,B,X,23.1,SR07,LSB14-2,LS,2_B14,25,more than 10,SR07,USR16087171L-A26,HF5W5BBXX_L1,23305045,22835248,6991513500,6850574400,97.98,0.02,95.38,89.64,48.14,20160718,131,,B2,LSB14-2,B,2,50,11,20170803-sent,20170804-sort/label,20170804-sort/label,gone,,8.55,1720.693161,0.952380952,-0.283248,LSB14,no,20160610,2,20160621,11,B14,201606,2016,20160621,B14,1-1-050,lab,UZ-35,43.4,2.1,2.3484498,-0.2484498,2.273444,-0.173444,0.02,4:30pm,12.2,11,,11,yes,,yes,yes (in two pieces),yes,yes,yes,yes,no,no,no,no,yes,no,3843.718505,3383.192774,3613.455639,49,0621_1
B14_LS_12,129,37,good ,yes,LS,B14,2_B14,0_B14,3_B14,B,X,40.5,SR12,LSB14-3,LS,2_B14,40,almost gone,SR12,USR16087176L-A95,HF5W5BBXX_L4,10993447,10373368,3298034100,3112010400,94.36,0.01,97.58,94.39,47.8,20160719,105,19,B3,LSB14-3,B,3,58,15,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube seven of third set of 16,7.32,,1.428571429,0.07702,LSB14,no,20160614,0,20160627,13,B14,201606,2016,20160627,B14,1-2-240,lab,Z-5-5_2,36,1.47,1.453886,0.016114,1.33801,0.13199,0.021,4:46pm,8.27,,15,15,yes,,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,NA,NA,NA,NA,0627_1
B02_LS_13,77,67,ok,yes,LS,B02,1_B02,3_B02,2_B02,B,X,22.4,SR13,LSB2-3,LS,1_B02,25,more than 10,SR13,USR16087177L-A32,HF5W5BBXX_L1,26872876,26078562,8061862800,7823568600,97.04,0.02,94.86,88.85,47.34,20160719,67,29.9,D3,LSB2-3,D,3,62,37,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube nine of third set of 16,9.04,,1.043771044,-0.176022,LSB2,yes,20160628,1,20160629,1,B02,201606,2016,20160711,B2,1-1-335,lab,UZ-38_2,49.1,2.97,3.0375057,-0.0675057,3.160352,-0.190352,0.031,4:05pm,9.2,37,,37,yes,,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,6563.279778,2994.146664,4778.713221,49,0629_1
B02_LS_14,238,23,good ,yes,LS,B02,1_B02,3_B02,2_B02,B,X,50,SR14,LSB2-4,LS,1_B02,45,all gone,SR14,USR16087178L-A33,HF5W5BBXX_L1,22432082,21994275,6729624600,6598282500,98.05,0.02,95.33,89.59,48.65,20160719,240,8.3,D4,LSB2-4,D,4,63,35,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube ten of third set of 16,7.15,,1.209964413,0.199258,LSB2,no,20160628,1,20160629,1,B02,201606,2016,20160629,B2,1-1-050,lab,UZ_34_3,45.1,2.81,2.5539577,0.2560423,2.650272,0.159728,0.034,4:36pm,7.56,35,,35,yes,2,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,NA,NA,NA,NA,0629_2
B14_LS_18,321,188,good ,yes,LS,B14,2_B14,0_B14,3_B14,B,X,8,SR18,LSB14-4,LS,2_B14,20,more than 10,SR18,USR16087182L-A13,HF5W5BBXX_L2,27371259,26871079,8211377700,8061323700,98.17,0.02,95.11,89.1,48.05,20160719,227,8.8,B4,LSB14-4,B,4,69,11,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube eleven of third set of 16,8.02,,0.731707317,-0.28826,LSB14,no,20160617,0,20160630,13,B14,201606,2016,20160630,B14,1-1-240,lab,UZ-39_2,40,1.64,1.937434,-0.297434,1.84365,-0.20365,0.012,5:03pm,12,,11,11,yes,9,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,NA,NA,NA,NA,0630_4
B14_LS_19,125,50,good ,yes,LS,B14,2_B14,0_B14,3_B14,B,X,30,SR19,LSB14-5,LS,2_B14,32,more than 10,SR19,USR16087183L-A14,HF5W5BBXX_L2,33342776,32601302,10002832800,9780390600,97.78,0.02,94.95,88.84,48.05,20160719,134,14.9,B5,LSB14-5,B,5,70,7,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube twelve of third set of 16,8.7,,0.909090909,-0.14444,LSB14,no,20160617,0,20160630,13,B14,201606,2016,20160630,B14,1-2-240,lab,UZ-40,39,1.65,1.816547,-0.166547,1.71724,-0.06724,0.015,5:35pm,10.02,,7,7,yes,11,yes,in pieces,yes,yes,yes,yes,no,no,no,no,yes,no,NA,NA,NA,NA,0630_5
B14_LS_22,195,97,ok,yes,LS,B14,2_B14,0_B14,3_B14,B,X,15.5,SR22,LSB14-6,LS,2_B14,20,more than 10,SR22,USR16087186L-A94,HF5W5BBXX_L2,25521565,24749877,7656469500,7424963100,96.98,0.02,95.38,89.62,48.3,20160719,155,12.9,B6,LSB14-6,B,6,76,30,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube fifteen of third set of 16,6.23,2053.705469,0.793650794,-0.521058,LSB14,no,20160619,0,20160704,15,B14,201607,2016,20160704,B14,1-2-240,lab,UZ-35_2,38.9,1.26,1.8044583,-0.5444583,1.704599,-0.444599,0.01,4:30pm,4.55,,30,30,yes,10,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,2465.905676,2709.432106,2587.668891,49,0704_1
R14_LS_24,123,50,good ,yes,LS,R14,0_R14,2_R14,1_R14,R,X,30,SR24,LSR14-1,LS,0_R14,30,more than 10,SR24,USR16087188L-A19,HF5W5BBXX_L2,25744035,25131353,7723210500,7539405900,97.62,0.02,94.86,88.73,48.03,20160720,190,10.5,F4,LSR14-1,F,4,78,19,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube one of second set of 16,5.52,,6.25,0.21719,LSR14,no,20160610,9,20160704,24,R14,201607,2016,20160704,R14,1-2-140,lab,UZ-42,42.5,2.48,2.2396515,0.2403485,2.31655,0.16345,0.155,5:20pm,4.27,,19,19,yes,,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,NA,NA,NA,NA,0704_3
R02_LS_32,264,125,good ,yes,LS,R02,3_R02,1_R02,0_R02,R,X,12,SR32,LSR2-1,LS,3_R02,20,more than 10,SR32,USR16087196L-A27,HF5W5BBXX_L2,26119682,25034184,7835904600,7510255200,95.84,0.02,95.13,89.2,49.04,20160720,87,23,H1,LSR2-1,H,1,92,9,20170803-sent,20170804-sort/label,20170804-sort/label,RNA,tube twelve of second set of 16,6.5,,0.866666667,-0.2704746,LSR2,no,20160622,0,20160707,15,R02,201607,2016,20160706,B14,1-2-335,lab,Z-3-1-_2,50.03,3,3.14993061,-0.14993061,2.9577179,0.0422821,0.026,4:45pm,9.15,,9,9,yes,,yes,yes,yes,yes,yes,yes,null,null,null,null,null,null,8063.22032,948.4868869,4505.853603,49,0707_4
